name	hash	compiles	blocker_category	blocker	equiv	equiv_detail
Darklang.Stdlib.Diff.tableGet	0038fbd1497a46f3821abb786e278df3734aa36421696b041bccfd28593f975e	yes		31872 bytes	match	match
Darklang.SCM.PackageOps.chainBindings	0056002cf85ee9c2374f5047f50467f9baad66fbba39c45476eef71219207691	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.SCM.PackageOps.adoptCommitsWhere	0065f6a94cfff6b05e6cd6f0a488ef81018e9b6b89cb637555b0e6e5e499f693	yes		193000 bytes	ierr	ierr|[Function (Package (Hash "0065f6a94cfff6b05e6cd6f0a488ef81018e9b6b89cb637555b0e6e5e499f693")); Function (Package (Hash "2214c09a884a50281a482b92909e5ba050cc33edafc9fb61f1a10a7a0055f1c3"))]
Darklang.LLM.Providers.Ollama.create	0068d0e181e440803d0e2b92def436b283331b8fdf5a26db9ccb51e56ffc620c	no	compiler: ANF	ANF conversion error: Nested pattern in list element not yet supported		
Darklang.WIP.AI.Anthropic.Content.emptyBlock	006d66050fc50a8182e0a6fe17a7863b9f95e5bc532c8e4adf313a6776916146	yes		5664 bytes	match	match
Darklang.PrettyPrinter.ProgramTypes.sourceFile	007d064ece21498a303caab46c3c40752dd30b4d11b76958b27ad5380579bfdc	no	builtin not routed	unsupported-builtin: int128ToString_v0		
Darklang.LLM.Tools.FileSystem.searchPathsForPattern	00a828bc1307ebee4dba8e0fa6ec7e5ececc8ed9d9b9d6fc257ec7788b4b8f31	yes		137296 bytes	match	match
Darklang.Cli.Apps.Install.removeAlias	00a98f83ca0fde8be3b6892cea3d9867485d908160dc8f4c09e8bbc7e865e7db	yes		117464 bytes	ierr	ierr|[Function (Package (Hash "00a98f83ca0fde8be3b6892cea3d9867485d908160dc8f4c09e8bbc7e865e7db")); Function (Package (Hash "2e5297f116c22bf29fbf812341eb8bb54f348be22e589f06d004e78398d06a32")); Function (Package (Hash "77588c645a38c7b8cdff437e1c337930edccd49f2fce074c5082b622b97d1084")); ... ]
Darklang.LanguageTools.WrittenTypesToProgramTypes.TypeDeclaration.toPT	00aed8c68f0f60e30d123b19ad4a6d047af709d0060817d14ecd002a6ed7764d	no	builtin not routed	unsupported-builtin: stringToList_v0		
Darklang.WIP.AI.Anthropic.Chat.parseContentBlock	00c28ac22516b004051f08a02f9c9c99d6144f772ae216268c9798d84d07f2fc	no	other	x86-64 code generation error: Unresolved virtual float register f3100 in x86-64 codegen		
Stachu.DarklangParser.qualifiedName	00c6cefa0b2ff3f9b7ddda32ac984b564a23c10dfb3a64cd4a000e8293dd9cd3	no	unsupported-type	unsupported-type: Stachu.DarklangParser.P: generic type alias		
Darklang.WIP.AI.OpenAI.Audio.Transcriptions.parseResponse	00c9f362b5f6bd653045f024966c8504e5522106841221cab8db3931003bb296	yes		203992 bytes	ierr	ierr|[]
Darklang.ModelContextProtocol.LifeCycle.InitializeRequest.InitializeResult.toJson	00e44cbf3afea6f5d0c41c59020d0a8430154f065498177626d7e36661f688c5	yes		39488 bytes	match	match
Darklang.Cli.Tests.testWorkbenchSidebarNavigation	011069e0268f741cc26a0b4c76f0f8729fceeddf89d8edf8bd095e2c913daf5f	no	unsupported-type	unsupported-type: Darklang.LanguageTools.RuntimeTypes.Option: generic type alias		
Darklang.WIP.AI.Anthropic.IntegrationTests.DirectApiTests.allTests	011092f02f65b4c7533d7ea3035687509222f872b04cd46acc59f204ebee7a87	yes		686792 bytes	unprovable	unprovable|TFunction ([TUnit], TSum ("T.d3c45f13da6f6104ffc039c2b004cad9bb8331060e25f22efd371ce5b84aa11f", []))
Darklang.Stdlib.printLines	0119e5467821abc3476f53de9d307f141735373fd567fd6baedfe953693c725b	yes		34872 bytes	match	match
Darklang.Cli.Branch.help	011b6b088a2e548701c895fa0618cfb4b42f633d4192cf612bbd7356b8cbef74	yes		35576 bytes	noargs	noargs|TCustomType ({ originalName = ["AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, [])
Darklang.Cli.Outliner.Editor.collapseOrParent	01269c94c285d5682c01d9240cafeda0804a1073e0d9939873c630fffd1d6ae1	no	compiler: type error	fn.4cbc81caadfb1da7c351beb8d9b7dc51c1f8d124417dc8cfa4322fc2962eb681's return value expects List<Int64>, but got List<t> (List<t>)		
Darklang.WIP.AI.Anthropic.Tools.bashTool	012db9a78cd7572087a2f64bebf77f611575ed078a6a5cf159eee8be29db97ea	yes		680 bytes	match	match
Darklang.Cli.Workbench.jumpToWorkspace	013b816861a095e886cf315df7ad15e937db4435eed02918ecd1d938767071bd	no	builtin routed, return type unmarshalable	unsupported-builtin: pmSearch: T.751f8f7eebb10ce34c92278e99a9686bc43a476a448f467eeed11d0042d1eb44: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.SCM.PackageOps.draftRepoints	0140b70f96d2ef3d972171debbdc8a9a32d26ae0ccb71a62b6e87541c3d2af26	no	builtin not routed	unsupported-builtin: listSortBy_v0		
Darklang.WIP.AI.Anthropic.Batch.parseMessageBatch	0141ec074c128a1413ea43ec5c810401baf151c8ec88bfa736ee2e013b71a041	yes		100424 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.comment	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.grayText	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.logo	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Cli.UI.Colors.mutedText	0148f7bfbbeae454b30dc34a87062c5b8fc041da7774f48dc4efffdc1d304b52	yes		1848 bytes	match	match
Darklang.Stdlib.Int32.multiply	015112adcedbb61dfcb9b3ec7bc9bdd5e28d957d885a834bc785ad418c6fc97a	yes		608 bytes	match	match
Darklang.Cli.Installation.Config.updateVersion	0158ccf26fad6ce0d426251aab4c7e458b0866b6e4ae13cfea80d274f95e0bf8	no	builtin not routed	unsupported-builtin: dateTimeToSeconds_v0		
Darklang.Stdlib.Tuple2.mapFirst	015bec7f8e7f8d157086a75c3963c27ffe5576658e92bb69b5d92e97bdff610d	yes		1136 bytes	noargs	noargs|TFn ({ head = TVariable "a" tail = [] }, TVariable "c"), TTuple (TVariable "a", TVariable "b", [])
Darklang.Stdlib.DB.queryOne	016371e7e43e2f452191d4ca8b4140902f3dd19bfffee9c12e4cebfa84c63f23	no	unsupported-type	unsupported-type: TDB		
Darklang.LLM.Providers.OpenAI.toolSchemaToJson	016a538bfd4a3e4585aa22d0ed65f0794acfef3af24d2094802a94003e8701e6	yes		108784 bytes	crash	crash|1
Darklang.Stdlib.Pretty.styled	016b2eac6aa992f32f341d1c4be729d5cf342d00976a03d960c63d6531c8fe31	yes		728 bytes	match	match
Darklang.Cli.Docs.Command.help	0174ff1c7e66ac5024fa9a8a0e03745d462fb94ba92f5695bc2184af96fad184	yes		27064 bytes	noargs	noargs|TCustomType ({ originalName = ["Cli"; "AppState"] resolved = Ok { name = Package (Hash "66b13d6508c6716ee1851226d1a0c169f4bac2a6b43a85a9a80af5d7d19a1629") location = Some { owner = "Darklang" modules = ["Cli"] name = "AppState" } } }, [])
Darklang.LanguageTools.LspServer.Completions.createCompletions	01816a9250ba69c8042406b773c255719c7a1656aac07ad2b0accda97489fd66	no	builtin routed, return type unmarshalable	unsupported-builtin: pmSearch: T.751f8f7eebb10ce34c92278e99a9686bc43a476a448f467eeed11d0042d1eb44: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.SCM.PackageOps.decodeOpRowEntries	018f7ddf74bc6c7f4239e596310e2b18b87f1c38d8c8cc9b61f411384481ca7a	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.Matter.itemsIn	0191f9c76a5b5f697427119d3a03f304f67b3b47a820dfefec7559cea83f493e	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Cli.Outliner.Editor.clearFilter	01b0e11a1c408b455513d4fa23e829901cae02c6f04db97b1509f8efae816c9e	yes		1424 bytes	noargs	noargs|TCustomType ({ originalName = ["State"] resolved = Ok { name = Package (Hash "7d5b0e2883df3132e99e0d269c3cd8abc40f5bb964608974718014beac562f30") location = Some { owner = "Darklang" modules = ["Cli"; "Outliner"; "Editor"] name = "State" } } }, [])
Darklang.Cli.Tracing.complete	01b85146686e5f81c21b59dc15f3ff48d888dc2c5edc4da1d7f4ce6ef96ca03c	no	compiler: ANF	ANF conversion error: Tail pattern must be variable or wildcard		
Darklang.Stdlib.ValueSearch.buildPathFromLocation	01c22b2d6ff0f34d228b12b4316a2f4f3ed4407be797b3a978e19126e99bf6a8	yes		46360 bytes	match	match
Darklang.Cli.PropagateCmd.executeJson	01cf2109847d8a0e2097c0265b7922e51cf75917debfab8216cad5b94e3280b5	no	builtin not routed	unsupported-builtin: sqliteQuery_v0		
Darklang.Cli.Packages.DB.listAll	020a025cbac12ed976314e129acb4a1faf46e1624547401554a04b3c8b1418d2	yes		79032 bytes	noargs	noargs|TUuid
Darklang.LanguageTools.LspServer.Hover.handleHoverRequest	02143ae7337e6850ff6311e04302bd196538020be9c8def8e0be075d92e00560	no	builtin routed, return type unmarshalable	unsupported-builtin: pmGetFn: T.0cc514f99b65b8c6ca917880ae86966ad4fcfd256d59940fa9eb606317a3357a: T.51d1c6d465118e886efbf45f4a6abaa1282b52fc159df96cea2976cec73676ea: unmarshalable-return: TInt128		
Darklang.Stdlib.Html.pre	02164dc10b42c9112e4180ed71ae96761d0ce6cbed346c9ffd974e78705256b5	yes		1040 bytes	ierr	ierr|[]
Stachu.DarklangParser.matchPattern	021c9da0a3076303df65b64225671c1d670d2258a97a6727cb87dada13941554	no	unsupported-type	unsupported-type: Stachu.DarklangParser.P: generic type alias		
Darklang.Stdlib.List.uniqueBy	0226dfde3d5a9468eca1d55cbec0a53f4bbfe6a63e4103480c2e5a7b045be4ff	no	builtin not routed	unsupported-builtin: listSort_v0		
Darklang.JsonRPC.Request.makeString	0227598e0df146f91287f16c8c5bbad912e9b25fa5f59b5cc8580542f6afb10d	yes		123192 bytes	ierr	ierr|[]
Stachu.Parser.keepRight	02296b700ae98df3571b71cca45b3a98fa2212de0d84e4ac6ce8a90a9ed245e6	yes		3104 bytes	noargs	noargs|TCustomType ({ originalName = ["Parser"] resolved = Ok { name = Package (Hash "92f9b06263f70264fcc992d14d33b58588e038c336fa7c7b462f96ee6f709c61") location = Some { owner = "Stachu" modules = ["Parser"] name = "Parser" } } }, [TVariable "a"]), TCustomType ({ originalName = ["Parser"] resolved = Ok { name = Package (Hash "92f9b06263f70264fcc992d14d33b58588e038c336fa7c7b462f96ee6f709c61") location = Some { owner = "Stachu" modules = ["Parser"] name = "Parser" } } }, [TVariable "b"])
Darklang.Tracing.Store.clearBefore	025035b7b8f753458b1feb27802e8d980562d22f19de0b928bbc5f6018fc2b6e	yes		37384 bytes	match	match
Darklang.Stdlib.Char.toCodepoint	0275d9bb16153cb8c0dc56f556f101d34235059fa6e8ec5dca41fab3e871410b	yes		43224 bytes	match	match
Darklang.Cli.Docs.Command.Topics.allTopics	02a1465d1d845877cecf96a3e1cc1220da2f0774b23d9beb3575eaa9dc90410b	yes		162496 bytes	unprovable	unprovable|T.4fc737d5a920e12705663147c6e319d995a4788497955986e97be18bbdda5612.content: TFunction ([TUnit], TString)
Darklang.LLM.Providers.OpenAI.imageSourceToOpenAI	02a33d264ea32886beb7ad976157e38d1a492f16ca758221ee668b9708811268	yes		11240 bytes	match	match
Darklang.WIP.AI.OpenAI.Responses.BuiltInTools.toJson	02a5b6a55ebdebcca16b221e8d4ec3eb2b317341c4f868b47f297f7d4f134c44	yes		130432 bytes	match	match
Darklang.SCM.PackageOps.supersededPolicies	02b41f5f8472d8d0cdddacfd8723818ef64f73351eadad15bddc1e79982ec6c8	no	builtin not routed	unsupported-builtin: uuidParse_v0		
Darklang.Stdlib.List.reverse	02c8102b4dafeddea3c9a7b4383dd7369d8207f9ee6022201e4500047ef4113d	yes		42600 bytes	match	match
Darklang.Stdlib.Blob.toBase64	02dd2c4e15eb10317b0fbc8ecdf4179cc3479a1da159a32e8f2610b45f70be2f	yes		65480 bytes	match	match
Darklang.Cli.Outliner.Commands.findDoc	02edc51dca43d1893c6555a995c6b8ab62f5031ce7212b47c9b370b3f5e6bc2a	yes		93896 bytes	noargs	noargs|TList (TCustomType ({ originalName = ["Document"] resolved = Ok { name = Package (Hash "81efd2e9f5756fddd7b83831ad1d5899dd0d631c5fd2975f86f33b515ba7313d") location = Some { owner = "Darklang" modules = ["Cli"; "Outliner"] name = "Document" } } }, [])), TString
